,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r6i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r7i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.57,0.89,0.85,,,,,dust ss,,,
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.71,0.80,0.76,,,,,dust ss,,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,0.67,0.88,0.80,,,,,dust ss,,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,1,,,,0.00,0.73,0.94,0.82,,,,,dust ss,,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.65,0.77,0.81,,,,,dust ss,,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.65,0.89,0.85,,,,,dust ss,,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.65,0.90,0.75,,,,,dust ss,,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.67,0.78,0.78,,,,,dust ss,,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.71,0.84,0.78,,,,,dust ss,,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.71,0.90,0.80,,,,,dust ss,,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.65,0.89,0.84,,,,,dust ss,,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,,,,,,CanESM,dust ss,,,
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,0.73,0.91,0.80,,,,,dust ss,,,
