,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,1,2.01,,,,,3.00,2.00,0.15,-0.04,,,,,,,,,,0.81,,,,,,,2.01,,4.79,,,,,,,,,,,,,,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,1,2.39,,,0.00,,,,,,,,,,,,,,,,,,,,,,2.39,1.69,,,,,,,,4.00,3.00,4.00,,,,365_day,100.00
CMCC-CM2-HR4,r1i1p1f1,0.00,Basic,,,,,,1,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,2.09,,0.75,0.00,0.63,,,0.08,-0.00,,,,,,,,,2.00,0.85,,,,,0.80,1.80,2.09,1.58,3.52,-0.01,,3.29,4.60,-12.54,-8.62,5.00,5.00,4.00,,,,365_day,100.00
CMCC-ESM2,r1i1p1f1,1.00,AORCM,,AORCM,AORCM,AORCM,AORCM,1,,,,0.00,0.54,,,0.08,-0.00,,,,,,,,,,,,,,,0.90,2.00,,1.64,,-0.01,,,,,,5.00,5.00,,,,,365_day,100.00
CMCC-ESM2,r1i1p1f2,,,,,,,,0,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,r1i1p1f1,,,,,,,,0,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gregorian,
CNRM-CM6-1,r1i1p1f2,0.00,AORCM,,AORCM,ESD,ESD,AORCM,0,2.14,0.02,,1.00,0.75,0.00,1.00,0.07,-0.03,-2.79,1.00,2.00,1.00,2.00,,,1.00,,0.79,1.00,1.00,,,1.00,1.60,2.14,1.82,4.83,-0.01,0.84,2.82,4.75,-10.22,-35.20,3.00,3.00,3.40,CNRM,bc dust oa so4 ss,2222101100.00,,150.00
CNRM-CM6-1,r2i1p1f2,0.00,AORCM,,-,-,ESD,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.82,,,,,,,,3.00,3.00,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r3i1p1f2,0.00,AORCM,,-,-,ESD,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.81,,,,,,,,3.00,3.00,,CNRM,bc dust oa so4 ss,,,
CNRM-CM6-1,r4i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.83,,,,,,,,3.00,3.00,,CNRM,,,,
CNRM-CM6-1,r5i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.82,,,,,,,,3.00,3.00,,CNRM,,,,
CNRM-CM6-1,r6i1p1f2,0.00,ESD,,-,-,-,-,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.79,,,,,,,,3.00,3.00,,CNRM,,,,
CNRM-CM6-1-HR,r1i1p1f1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gregorian,
CNRM-CM6-1-HR,r1i1p1f2,0.00,AORCM,,ESD,-,-,ESD,2,2.48,0.02,,0.00,0.82,0.00,1.00,0.07,-0.03,,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,,1.00,2.00,2.00,1.00,1.30,1.10,2.48,,4.28,-0.01,,3.40,5.00,,,4.00,5.00,3.80,CNRM,,2222101100.00,,
CNRM-ESM2-1,r1i1p1f2,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,1,1.86,0.02,0.75,1.00,0.76,0.00,1.00,0.08,-0.04,-3.02,1.00,2.00,1.00,2.00,,,1.00,,0.79,1.00,1.00,,,1.30,2.10,1.86,1.81,4.76,-0.00,0.00,3.13,4.54,-11.15,-37.20,2.00,2.00,3.10,CNRM,bc dust oa so4 ss,2222222220.00,gregorian,150.00
CNRM-ESM2-1,r2i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.84,,,,,,,,2.00,2.00,,CNRM,bc dust oa so4 ss,,,
CNRM-ESM2-1,r3i1p1f2,0.00,ESD,-,3Dml,3Dml,Basic,3Dml,0,,0.02,,1.00,,,,,,,1.00,2.00,1.00,2.00,,,1.00,,,1.00,1.00,,,,,,1.80,,,,,,,,2.00,2.00,,CNRM,bc dust oa so4 ss,,,
