,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
GISS-E2-1-G,r4i1p3f1,0.00,-,,-,-,-,-,3,,,,1.00,,,,,,,3.00,1.00,3.00,1.00,3.00,1.00,1.00,,,1.00,1.00,2.00,1.00,,,,2.00,,,,,,,,2.00,3.00,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-G,r4i1p5f1,0.00,-,,-,-,-,-,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,2.00,3.00,,,,,,
GISS-E2-1-G,r5i1p3f1,0.00,-,,-,-,,-,0,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,3.00,,,,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,0,1.93,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,3.11,,,,,,,,,,,,,365_day,250.00
GISS-E2-1-H,r1i1p1f2,0.00,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,,,,,,,,,,,,,,,
GISS-E2-1-H,r1i1p3f1,0.00,-,-,-,-,-,-,1,,,,,,,,0.47,-0.28,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,bb bc dust no3 oa so4 ss,,,
GISS-E2-1-H,r1i1p5f1,0.00,-,,,,,,0,,,,,,,,0.12,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISS-E2-1-H,r2i1p1f2,0.00,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,
GISS-E2-1-H,r2i1p3f1,0.00,-,,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,
GISS-E2-1-H,r3i1p1f2,0.00,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,
GISS-E2-1-H,r3i1p3f1,0.00,-,,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,
GISS-E2-1-H,r4i1p1f2,0.00,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,
GISS-E2-1-H,r4i1p3f1,0.00,-,,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,
GISS-E2-1-H,r5i1p1f2,0.00,-,,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,,,,,,,,,
GISS-E2-1-H,r5i1p3f1,0.00,-,,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,,,,,,,,,,,,,,
GISS-E2-2-G,r1i1p1f1,0.00,Basic,,,,,,0,1.71,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,r1i1p1f1,,,,,,,,1,2.55,,,,,,,,,,,,,,,,,1.00,,,,,,,,2.55,,,,,,,,,,,4.50,,,,360_day,
HadGEM3-GC31-LL,r1i1p1f3,0.00,AORCM,,AORCM,AORCM,,AORCM,2,,0.00,0.82,0.00,,0.00,2.00,0.09,-0.12,,1.00,1.00,1.00,2.00,1.00,1.00,1.00,,0.83,1.00,1.00,1.00,2.00,,,,1.56,5.55,-0.03,,,,,,4.00,5.00,,HadGEM,,,,
HadGEM3-GC31-LL,r2i1p1f3,0.00,ESD,,,Basic,,ESD,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,1.00,1.00,,,1.00,1.00,1.00,2.00,,,,1.55,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,r3i1p1f3,0.00,ESD,,,Basic,,ESD,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,1.00,1.00,,,1.00,1.00,1.00,2.00,,,,1.54,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,r4i1p1f3,0.00,ESD,,,Basic,,ESD,0,,,,,,,,,,,1.00,1.00,1.00,2.00,1.00,1.00,1.00,,,1.00,1.00,1.00,2.00,,,,1.59,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,r1i1p1f1,,,,,,,,1,2.58,,,,,,,,,,,,,,,,,0.00,,,,,,,,2.58,,,,,,,,,,,4.40,,,,360_day,
HadGEM3-GC31-MM,r1i1p1f3,0.00,AORCM,,AORCM,,,AORCM,0,,,,,0.42,0.00,0.00,0.07,-0.11,,1.00,1.00,1.00,1.00,1.00,1.00,,,0.84,1.00,1.00,1.00,1.00,,,,1.57,5.42,-0.02,,,,,,,,,,,2222002000.00,,100.00
HadGEM3-GC31-MM,r2i1p1f3,0.00,ESD,,,,,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,,,,1.56,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,r3i1p1f3,0.00,ESD,,,,,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,r4i1p1f3,0.00,ESD,,,,,ESD,0,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,,,,1.57,,,,,,,,,,,,,,,
IITM-ESM,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.71,,,,0.81,,,,,,,,,,,,,,,,,,,,,1.71,1.76,,,,2.31,2.63,1.38,-20.82,,,2.20,,,2222101020.00,standard,250.00
INM-CM4-8,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,4,1.33,0.01,,1.00,,1.00,3.00,0.15,-0.16,1.01,1.00,3.00,1.00,3.00,,,1.00,,0.81,1.00,3.00,,,,,1.33,1.66,1.83,-0.02,,2.31,3.86,-6.57,-15.06,3.00,1.00,2.60,INM,bc dust oa so4 ss,,365_day,100.00
INM-CM5-0,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,3,1.39,0.04,,1.00,,0.00,3.00,0.14,-0.16,0.03,1.00,3.00,1.00,3.00,,,1.00,,0.84,1.00,2.00,,,2.00,1.30,1.39,1.48,1.92,-0.02,,2.39,4.03,-6.48,-19.31,3.00,3.00,2.70,INM,bc dust oa so4 ss,,365_day,100.00
INM-CM5-0,r2i1p1f1,0.00,ESD,,,,ESD,,2,,,,,,,,,,,1.00,3.00,1.00,3.00,,,1.00,,,1.00,2.00,,,,,,,,,,,,,,,,,,bc dust oa so4 ss,,,
INM-CM5-0,r3i1p1f1,0.00,ESD,,,,ESD,,2,,,,,,,,,,,1.00,3.00,1.00,3.00,,,1.00,,,1.00,2.00,,,,,,,,,,,,,,,,,,bc dust oa so4 ss,,,
INM-CM5-0,r4i1p1f1,0.00,ESD,,,,ESD,,2,,,,,,,,,,,1.00,3.00,1.00,3.00,,,1.00,,,1.00,2.00,,,,,,,,,,,,,,,,,,bc dust oa so4 ss,,,
INM-CM5-0,r5i1p1f1,0.00,ESD,,,,ESD,,2,,,,,,,,,,,1.00,3.00,1.00,3.00,,,1.00,,,1.00,2.00,,,,,,,,,,,,,,,,,,bc dust oa so4 ss,,,
IPSL-CM5A2-INCA,r1i1p1f1,0.00,3Dml,,3Dml,,3Dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bc dust no3 oa so4 ss,,,500.00
IPSL-CM6A-LR,r1i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,3,2.32,0.02,0.83,0.00,0.79,2.00,0.00,0.07,-0.03,-1.53,2.00,1.00,2.00,1.00,3.00,2.00,2.00,3.00,0.79,1.00,2.00,1.00,1.00,1.30,1.20,2.32,1.81,4.56,-0.03,2.17,3.30,5.02,-17.90,-24.67,5.00,5.00,4.10,,bc dust no3 oa so4 ss,2222221121.00,gregorian,250.00
IPSL-CM6A-LR,r2i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.32,0.02,,0.00,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,2.32,1.82,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,250.00
IPSL-CM6A-LR,r3i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.32,0.02,,0.00,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,2.32,1.82,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,250.00
IPSL-CM6A-LR,r4i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.32,0.02,,0.00,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,2.32,1.85,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,250.00
IPSL-CM6A-LR,r5i1p1f1,0.00,AORCM,,,AORCM,AORCM,,2,2.32,0.02,,0.00,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,2.32,,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,250.00
IPSL-CM6A-LR,r6i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.32,0.02,,0.00,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,2.32,1.75,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,250.00
IPSL-CM6A-LR,r7i1p1f1,0.00,AORCM,,,,AORCM,,1,,,,,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,,,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r8i1p1f1,0.00,AORCM,,,,AORCM,,1,,,,,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,,,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r9i1p1f1,0.00,AORCM,,,,AORCM,,1,,,,,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,,,,,,,,,,,,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r10i1p1f1,0.00,AORCM,,,AORCM,AORCM,,2,,,,0.00,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,,,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,
IPSL-CM6A-LR,r11i1p1f1,0.00,AORCM,,,AORCM,,,1,,,,0.00,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,,,,,
IPSL-CM6A-LR,r12i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r13i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r14i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.32,0.02,,0.00,0.68,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,1.60,1.10,2.32,1.82,,,,,,,,5.00,5.00,,,bc dust no3 oa so4 ss,,,250.00
IPSL-CM6A-LR,r15i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r16i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r17i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r18i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r19i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r20i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r21i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r22i1p1f1,0.00,AORCM,,,AORCM,,,1,,,,0.00,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,,,,,
IPSL-CM6A-LR,r23i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r24i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r25i1p1f1,0.00,AORCM,,,AORCM,,,1,,,,0.00,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,,,,,,
IPSL-CM6A-LR,r26i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r27i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r28i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r29i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r30i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r31i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r32i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r33i1p1f1,0.00,AORCM,,,,,AORCM,1,,,,,,,,,,,2.00,1.00,2.00,1.00,3.00,2.00,2.00,,,1.00,2.00,1.00,1.00,,,,1.81,,,,,,,,,,,,,,,
IPSL-CM6A-LR-INCA,r1i1p1f1,0.00,AORCM,,,,,,0,,,,,,,,0.09,-0.06,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,
KACE-1-0-G,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,1.41,0.05,,0.00,,0.00,1.00,0.19,-0.17,,1.00,1.00,1.00,2.00,1.00,1.00,,1.00,0.85,1.00,1.00,2.00,1.00,,,1.41,1.63,,-0.03,,,,,,5.00,5.00,3.90,HadGEM,,,360_day,250.00
KACE-1-0-G,r2i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,1.00,,,,1.00,1.00,2.00,1.00,,,,1.67,4.48,,,2.92,4.82,-9.24,-38.34,5.00,5.00,,,,,,
KACE-1-0-G,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,1.00,1.00,1.00,2.00,1.00,1.00,,,,1.00,1.00,2.00,1.00,,,,1.67,,,,,,,,5.00,5.00,,,,,,
KIOST-ESM,r1i1p1f1,0.00,Basic,,Basic,Basic,,Basic,1,,,,1.00,0.88,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,4.00,4.00,2.60,,,2222221120.00,365_day,250.00
MCM-UA-1-0,r1i1p1f1,0.00,-,,,,,,0,1.94,,,1.00,,,,,,-0.39,,,,,,,,,,,,,,,,1.94,1.54,3.65,,0.69,,,,,,,3.00,,,,365_day,250.00
MCM-UA-1-0,r1i1p1f2,0.00,-,,-,-,-,-,0,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,3.00,,,,,,
MIROC6,r1i1p1f1,1.00,AORCM,ESD,AORCM,AORCM,AORCM,AORCM,2,1.55,0.02,0.80,1.00,0.83,2.00,0.00,0.08,-0.10,-3.31,2.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,0.81,2.00,3.00,1.00,1.00,1.20,1.80,1.55,1.59,2.61,-0.00,-0.24,2.89,4.57,-10.85,-21.08,2.00,3.00,3.30,,bc dust oa so4 ss,,gregorian,250.00
MIROC6,r2i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.02,,1.00,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.66,,,,,,,,2.00,3.00,,,bc dust oa so4 ss,,,
MIROC6,r3i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.02,,1.00,0.89,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.58,,,,,,,,2.00,3.00,,,bc dust oa so4 ss,2222102000.00,,
MIROC6,r4i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.57,,,,,,,,,,,,,,,
MIROC6,r5i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r6i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.61,,,,,,,,,,,,,,,
MIROC6,r7i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.63,,,,,,,,,,,,,,,
MIROC6,r8i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r9i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,
MIROC6,r10i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r11i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.63,,,,,,,,,,,,,,,
MIROC6,r12i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.63,,,,,,,,,,,,,,,
MIROC6,r13i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.57,,,,,,,,,,,,,,,
MIROC6,r14i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.58,,,,,,,,,,,,,,,
MIROC6,r15i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.56,,,,,,,,,,,,,,,
MIROC6,r16i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r17i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.62,,,,,,,,,,,,,,,
MIROC6,r18i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r19i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r20i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r21i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r22i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r23i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r24i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.59,,,,,,,,,,,,,,,
MIROC6,r25i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.56,,,,,,,,,,,,,,,
MIROC6,r26i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.62,,,,,,,,,,,,,,,
MIROC6,r27i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r28i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.64,,,,,,,,,,,,,,,
MIROC6,r29i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.55,,,,,,,,,,,,,,,
MIROC6,r30i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.62,,,,,,,,,,,,,,,
MIROC6,r31i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.58,,,,,,,,,,,,,,,
MIROC6,r32i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.66,,,,,,,,,,,,,,,
MIROC6,r33i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r34i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.58,,,,,,,,,,,,,,,
MIROC6,r35i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.61,,,,,,,,,,,,,,,
MIROC6,r36i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.58,,,,,,,,,,,,,,,
MIROC6,r37i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.65,,,,,,,,,,,,,,,
MIROC6,r38i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r39i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.56,,,,,,,,,,,,,,,
MIROC6,r40i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
MIROC6,r41i1p1f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,1,,,,,,,,,,,2.00,1.00,2.00,1.00,2.00,1.00,1.00,,,2.00,3.00,1.00,1.00,,,,1.60,,,,,,,,,,,,,,,
