,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria
EC-Earth3,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.01,0.00,,,EC-Earth,,
EC-Earth3,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.01,0.00,,,EC-Earth,,
EC-Earth3,r5i1p1f1,,,,,,,,1,,0.01,0.00,,,EC-Earth,,
EC-Earth3,r6i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.01,0.00,,,EC-Earth,,
EC-Earth3,r7i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,0.00,,,EC-Earth,,
EC-Earth3-AerChem,r1i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,100.00,2222102000.00
EC-Earth3-CC,r1i1p1f1,0.00,Basic,,,ESD,,ESD,,,,,,,,100.00,2222221020.00
EC-Earth3-Veg,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,0.00,2.62,4.31,EC-Earth,100.00,2222221000.00
EC-Earth3-Veg,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,0.00,2.62,,EC-Earth,100.00,
EC-Earth3-Veg,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,0.00,2.62,,EC-Earth,100.00,
EC-Earth3-Veg,r4i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,,,,,,,EC-Earth,,
EC-Earth3-Veg,r5i1p1f1,0.00,Basic,,,Basic,,,,,,,,,EC-Earth,,
EC-Earth3-Veg,r6i1p1f1,0.00,Basic,,ESD,ESD,,ESD,2,2.62,0.01,0.00,2.62,,EC-Earth,100.00,
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,,,,,,,,250.00,2222221000.00
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,1,1.94,0.03,0.00,1.94,3.00,,100.00,
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,1,1.54,0.00,1.00,1.54,2.88,,250.00,
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,,,1.00,,,,,
FIO-ESM-2-0,r1i1p1f1,0.00,-,,-,-,,-,1,2.22,0.08,0.00,2.22,,,100.00,
FIO-ESM-2-0,r2i1p1f1,0.00,-,,-,-,,-,1,,0.08,0.00,,,,,
FIO-ESM-2-0,r3i1p1f1,0.00,-,,-,-,,-,1,,0.08,0.00,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,0,,,1.00,,,,100.00,2222212110.00
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,1.61,0.13,1.00,1.61,,,100.00,2222222220.00
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,0,1.80,,1.00,1.80,2.72,,250.00,2222101100.00
GISS-E2-1-G,r1i1p3f1,0.00,-,-,-,-,-,-,0,,0.05,,,,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,0,1.93,,,1.93,3.11,,250.00,
GISS-E2-2-G,r1i1p1f1,,,,,,,,0,1.71,,,1.71,,,,
HadGEM3-GC31-LL,r1i1p1f1,,,,,,,,2,2.55,,0.00,2.55,,,,
HadGEM3-GC31-LL,r1i1p1f3,0.00,RCM,,RCM,RCM,,RCM,2,,0.00,0.00,,5.55,HadGEM,,
HadGEM3-GC31-MM,r1i1p1f1,,,,,,,,1,2.58,,,2.58,,,,
HadGEM3-GC31-MM,r1i1p1f3,0.00,RCM,,RCM,,,RCM,,,,,,5.42,,100.00,2222002000.00
IITM-ESM,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.71,,,1.71,,,250.00,2222101020.00
INM-CM4-8,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,1.33,0.01,1.00,1.33,1.83,INM,100.00,
INM-CM5-0,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,1.39,0.04,1.00,1.39,1.92,INM,100.00,
IPSL-CM5A2-INCA,r1i1p1f1,0.00,3Dml,,3Dml,,3Dml,,,,,,,,,500.00,
IPSL-CM6A-LR,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,2.32,4.56,,250.00,2222221121.00
IPSL-CM6A-LR,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,2.32,,,250.00,
IPSL-CM6A-LR,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,2.32,,,250.00,
IPSL-CM6A-LR,r4i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,2.32,,,250.00,
IPSL-CM6A-LR,r5i1p1f1,0.00,RCM,,,RCM,RCM,,1,2.32,0.02,0.00,2.32,,,250.00,
IPSL-CM6A-LR,r6i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,2.32,,,250.00,
IPSL-CM6A-LR,r10i1p1f1,0.00,RCM,,,RCM,RCM,,1,,,0.00,,,,,
IPSL-CM6A-LR,r14i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,2.32,,,250.00,
KACE-1-0-G,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,1.41,0.05,0.00,1.41,,HadGEM,250.00,
KACE-1-0-G,r2i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,,,,,,4.48,,,
KIOST-ESM,r1i1p1f1,0.00,Basic,,Basic,Basic,,Basic,0,,,1.00,,,,250.00,2222221120.00
MCM-UA-1-0,r1i1p1f1,0.00,-,,,,,,0,1.94,,1.00,1.94,3.65,,250.00,
MCM-UA-1-0,r1i1p1f2,0.00,-,,-,-,-,-,0,,0.02,,,,,,
MIROC6,r1i1p1f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,0,1.55,0.02,1.00,1.55,2.61,,250.00,
MIROC6,r2i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,,0.02,,,,,,
MIROC6,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,,0.02,,,,,,2222102000.00
MIROC6-ES2L,r1i1p1f2,,,,,,,,0,,,1.00,,,,,
MIROC6-ES2L,r2i1p1f2,,,,,,,,0,,,1.00,,,,,
MIROC6-ES2L,r3i1p1f2,,,,,,,,0,,,1.00,,,,,
MIROC6-ES2L,r5i1p1f1,,,,,,,,0,,,1.00,,,,,
MIROC-ES2L,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,1.55,0.00,,1.55,2.68,,500.00,
MIROC-ES2L,r2i1p1f2,0.00,RCM,RCM,RCM,RCM,-,-,,,,,,,,,
MIROC-ES2L,r3i1p1f2,0.00,RCM,RCM,RCM,RCM,-,-,,,,,,,,,
MIROC-ES2L,r5i1p1f2,0.00,RCM,-,-,RCM,-,-,,,,,,,,,2222022020.00
MPI-ESM1-2-HR,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.66,0.08,1.00,1.66,2.98,MPI,100.00,2222221020.00
MPI-ESM1-2-HR,r2i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.66,0.08,1.00,1.66,,MPI,100.00,
MPI-ESM1-2-LR,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,3.00,MPI,250.00,2222221020.00
MPI-ESM1-2-LR,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r4i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r5i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r6i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r7i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r8i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r9i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r10i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.84,,MPI,250.00,
MPI-ESM1-2-LR,r11i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r12i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r13i1p1f1,0.00,,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r14i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r15i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r16i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r17i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r18i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r19i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r20i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r21i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r22i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r23i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r24i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r25i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r26i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r27i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r28i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM1-2-LR,r29i1p1f1,0.00,RCM,RCM,,RCM,,RCM,,,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,0.00,RCM,,,,RCM,,0,1.80,,,1.80,2.96,,250.00,2222222120.00
