model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585
CanESM5,r15i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r16i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r16i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r17i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r17i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r18i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r18i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r19i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r19i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r20i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r20i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r21i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r21i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r22i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r22i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r23i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r23i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r24i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r24i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r25i1p1f1,0,ESD,ESD,Basic,Basic,Basic,Basic
CanESM5,r25i1p2f1,0,Basic,ESD,Basic,Basic,Basic,Basic
CanESM5,r26i1p2f1,0,-,,,,,
CanESM5,r27i1p2f1,0,-,,,,,
CanESM5,r28i1p2f1,0,-,,,,,
CanESM5,r29i1p2f1,0,-,,,,,
CanESM5,r30i1p2f1,0,-,,,,,
CanESM5,r31i1p2f1,0,-,,,,,
CanESM5,r32i1p2f1,0,-,,,,,
CanESM5,r33i1p2f1,0,-,,,,,
CanESM5,r34i1p2f1,0,-,,,,,
CanESM5,r35i1p2f1,0,-,,,,,
CanESM5,r36i1p2f1,0,-,,,,,
CanESM5,r37i1p2f1,0,-,,,,,
CanESM5,r38i1p2f1,0,-,,,,,
CanESM5,r39i1p2f1,0,-,,,,,
CanESM5,r40i1p2f1,0,-,,,,,
E3SM-1-0,r1i1p1f1,0,-,,,,,
E3SM-1-0,r2i1p1f1,0,-,,,,,
E3SM-1-0,r3i1p1f1,0,-,,,,,
E3SM-1-0,r4i1p1f1,0,-,,,,,
E3SM-1-0,r5i1p1f1,0,-,,,,,
E3SM-1-1-ECA,r1i1p1f1,0,-,,,,,
E3SM-1-1,r1i1p1f1,0,-,,,-,,-
E3SM-1-1,r2i1p1f1,0,,,,-,,
E3SM-1-1,r3i1p1f1,0,,,,-,,
E3SM-1-1,r4i1p1f1,0,,,,-,,
E3SM-1-1,r5i1p1f1,0,,,,-,,
E3SM-1-1,r6i1p1f1,0,,,,-,,
E3SM-1-1,r7i1p1f1,0,,,,-,,
E3SM-1-1,r8i1p1f1,0,,,,-,,
E3SM-1-1,r9i1p1f1,0,,,,-,,
E3SM-1-1,r10i1p1f1,0,,,,-,,
EC-Earth3-AerChem,r1i1p1f1,0,Basic,,,,ESD,
EC-Earth3-AerChem,r4i1p1f1,0,Basic,,,,ESD,
EC-Earth3-CC,r1i1p1f1,0,Basic,,,ESD,,ESD
EC-Earth3-Veg-LR,r1i1p1f1,0,Basic,ESD,ESD,ESD,ESD,ESD
EC-Earth3-Veg-LR,r2i1p1f1,0,Basic,ESD,ESD,ESD,ESD,ESD
EC-Earth3-Veg-LR,r3i1p1f1,0,Basic,ESD,ESD,ESD,ESD,ESD
EC-Earth3-Veg,r1i1p1f1,0,Basic,ESD,ESD,ESD,ESD,ESD
EC-Earth3-Veg,r2i1p1f1,0,Basic,ESD,ESD,ESD,ESD,ESD
EC-Earth3-Veg,r3i1p1f1,0,Basic,ESD,ESD,ESD,ESD,ESD
EC-Earth3-Veg,r4i1p1f1,0,Basic,,ESD,ESD,ESD,ESD
EC-Earth3-Veg,r5i1p1f1,0,Basic,,,Basic,,
EC-Earth3-Veg,r6i1p1f1,0,Basic,,ESD,ESD,,ESD
EC-Earth3-Veg,r10i1p1f1,0,Basic,,,,,ESD
EC-Earth3-Veg,r12i1p1f1,0,Basic,,ESD,-,-,-
